feature,mean_absolute_SHAP
Log height,0.6352766
Period: 2015-2017,0.17277959
Period: 2021-2023,0.118574105
Tree density (25 m),0.087550014
Solar radiation,0.08072682
Species: General_Conifer,0.05401335
Monoculture rate,0.046100814
Sky-view factor,0.044043772
Land-surface temperature,0.03881174
Daytime noise,0.03649407
Night illumination,0.020487206
Species: Tilia,0.019795101
Species: General_Broadleaf,0.013632081
Species: Acer,0.011635623
Site: Katu,0.008014703
Period: 2017-2021,0.0045328606
Site: Puisto,0.0016392301
