Group,OLS_R2_Development_Test,OLS_MAE_pctpt,RF_R2_Development_Test,RF_MAE_pctpt,XGB_R2_Development_Test,XGB_MAE_pctpt,MLP_R2_Development_Test,MLP_MAE_pctpt
Overall,0.573 / 0.576,4.476012184680297,0.795 / 0.608,3.9707810418684635,0.669 / 0.611,3.9262955485371402,0.623 / 0.600,4.05106811126944
Conifer,0.434 / 0.393,4.2315444243355795,0.746 / 0.454,3.1951255536232437,0.588 / 0.462,3.18629672969188,0.519 / 0.449,3.254163055842391
Broadleaf,0.587 / 0.594,4.5109069985525405,0.799 / 0.623,4.081496474664735,0.677 / 0.625,4.031921423347272,0.633 / 0.615,4.164816662586656
Acer,0.444 / 0.442,2.8635855493702733,0.728 / 0.479,2.797856629405384,0.548 / 0.474,2.742400443096606,0.490 / 0.451,2.9961534839779658
Alnus,0.630 / 0.697,13.438317659914054,0.836 / 0.769,10.100334242312918,0.778 / 0.781,8.598111815122703,0.738 / 0.772,10.041040858148822
Betula,0.448 / 0.434,3.524465536502973,0.727 / 0.468,3.677909203410387,0.606 / 0.477,3.4180554121472335,0.522 / 0.470,3.512482331416227
Pinus,0.541 / 0.468,5.818647451169459,0.785 / 0.515,3.8440576508362105,0.674 / 0.536,3.8326686716862057,0.621 / 0.526,3.9856535826416515
Prunus,0.541 / 0.493,7.536491144468262,0.783 / 0.505,6.929318837469419,0.705 / 0.521,6.950561229998084,0.619 / 0.517,7.179012556303824
Quercus,0.547 / 0.522,7.965374854556059,0.786 / 0.592,8.027582905506678,0.732 / 0.613,6.701270743511585,0.649 / 0.612,6.725065288779847
Sorbus,0.594 / 0.620,6.687501206487805,0.811 / 0.662,5.906782705632643,0.754 / 0.658,5.757282954806024,0.688 / 0.627,7.137871250861211
Tilia,0.609 / 0.580,4.13609728328833,0.818 / 0.610,3.285617204734556,0.693 / 0.616,3.2701851435013465,0.652 / 0.601,3.5243975315121654
Ulmus,0.324 / 0.380,2.528676588785877,0.689 / 0.413,2.323573301591093,0.504 / 0.408,2.37346485845405,0.426 / 0.405,2.284855193821755
