Genus,Category,Category_Absolute_SHAP_Impact,Category_Robust_SHAP_Range_Sum,Category_Mean_Absolute_SHAP_Sum,N_Features,N_Test_Rows,Category_Composition_Share,Positive_Sensitivity,Negative_Sensitivity,Nonlinear_Sensitivity,Category_Rank_within_Genus
Acer,Atmosphere,0.5025887910276646,0.5025887910276648,0.1145786984047408,4,825,0.3943635371884481,0.0,0.30771706923842407,0.1948717217892406,2
Acer,Structure,0.5347873717546457,0.5347873717546461,0.1368807658765756,4,825,0.41962861753768554,0.41634543016552883,0.11844194158911689,0.0,1
Acer,Soil,0.237054010480642,0.2370540104806422,0.062387574119738,3,825,0.1860078452738664,0.06512918248772609,0.17192482799291592,0.0,3
Alnus,Atmosphere,0.5638676576316353,0.5638676576316355,0.138507113597133,4,115,0.4380842573702564,0.2342127420008181,0.2466430358588694,0.0830118797719477,1
Alnus,Structure,0.4787594429682937,0.4787594429682938,0.1130098595356367,4,115,0.3719613497832146,0.3008705969899891,0.1778888459783046,0.0,2
Alnus,Soil,0.2444943792186675,0.2444943792186675,0.0803486450792937,3,115,0.1899543928465291,0.1183128833770751,0.1261814958415924,0.0,3
Betula,Atmosphere,0.5834610164165492,0.5834610164165495,0.1400534501841692,4,401,0.4187424302235751,0.1553127765655516,0.3363849110901354,0.0917633287608623,1
Betula,Structure,0.571177929639816,0.5711779296398161,0.1385381582719157,4,401,0.4099270176033354,0.31154019385576237,0.023853164166212002,0.23578457161784158,2
Betula,Soil,0.2387259826064108,0.2387259826064108,0.0573476697882141,3,401,0.17133055217308946,0.0749210081994533,0.16380497440695752,0.0,3
Pinus,Atmosphere,0.5235972639173265,0.5235972639173267,0.1260649532123683,4,219,0.41217921282891423,0.1528441775590181,0.29727691896259756,0.0734761673957108,2
Pinus,Structure,0.5428005720488722,0.5428005720488726,0.14736155049893157,4,219,0.4272961833992978,0.2817111790180205,0.1340901716612277,0.126999221369624,1
Pinus,Soil,0.20391674473212312,0.2039167447321232,0.0664764025942493,3,219,0.160524603771788,0.060637521930038796,0.1432792228020843,0.0,3
Prunus,Atmosphere,0.47787606948986616,0.4778760694898663,0.115106931349146,4,116,0.4038206225237282,0.1641110703349113,0.226572552230209,0.0871924469247459,2
Prunus,Structure,0.5916739562526341,0.5916739562526344,0.1536006565626126,4,116,0.4999834906989051,0.3511269539594648,0.24054700229316928,0.0,1
Prunus,Soil,0.1138369605469049,0.11383696054690501,0.0387437760413815,3,116,0.09619588677736678,0.0454874564893543,0.0683495040575506,0.0,3
Quercus,Atmosphere,0.4047314340248701,0.4047314340248702,0.1108908388167827,4,115,0.4052700431008381,0.0,0.2285869631916283,0.1761444708332418,2
Quercus,Structure,0.4507732395082708,0.450773239508271,0.12368083095314651,4,115,0.45137312016391495,0.3507788643240926,0.0,0.0999943751841782,1
Quercus,Soil,0.1431663136638231,0.1431663136638234,0.0408075710189142,3,115,0.143356836735247,0.068664115667343,0.0745021979964801,0.0,3
Sorbus,Atmosphere,0.5801352189853785,0.5801352189853786,0.1437161955745745,4,158,0.4657293833239554,0.0,0.37870184294879417,0.2014333760365843,1
Sorbus,Structure,0.540858711535111,0.540858711535111,0.1449398921705563,4,158,0.43419841779160284,0.4367756595369428,0.0,0.1040830519981682,2
Sorbus,Soil,0.1246548083348895,0.1230175429285735,0.0394956082186868,3,158,0.10007219888444173,0.0437906334176659,0.0808641749172236,0.0,3
Tilia,Atmosphere,0.6409627335146065,0.6409627335146068,0.1538073147354708,4,1540,0.48147654865537604,0.0,0.417802398651838,0.2231603348627685,1
Tilia,Structure,0.5335595455020663,0.5335595455020664,0.1600816349508211,4,1540,0.40079772978659717,0.3806754792109129,0.1528840662911534,0.0,2
Tilia,Soil,0.15672165239520802,0.1549594155483645,0.0538130602602183,3,1540,0.1177257215580268,0.0458588246256112,0.1108628277695968,0.0,3
Ulmus,Atmosphere,0.4848358010873194,0.4848358010873195,0.11756575314002621,4,503,0.4453875663278851,0.0,0.2696504708379504,0.215185330249369,1
Ulmus,Structure,0.43877314161509234,0.4387731416150925,0.12116315085232701,4,503,0.4030727542721013,0.3458101047202941,0.0,0.0929630368947982,2
Ulmus,Soil,0.1649616365903054,0.1613498462713322,0.0583794841788572,3,503,0.15153967940001356,0.055990196764469105,0.10897143982583629,0.0,3
