Group,Feature,Feature_Label,Decile,Feature_Median,Mean_SHAP,N
Overall,avg_noise_day,Daytime noise,1,35.0,0.04691646430300727,1428
Overall,avg_noise_day,Daytime noise,2,47.5,0.020076727320229866,819
Overall,avg_noise_day,Daytime noise,3,52.5,0.00959659005154323,1305
Overall,avg_noise_day,Daytime noise,4,57.5,-0.011145565626926512,1264
Overall,avg_noise_day,Daytime noise,5,62.5,-0.024844054061250648,994
Overall,avg_noise_day,Daytime noise,6,67.5,-0.0625653659641328,613
Overall,avg_noise_day,Daytime noise,7,72.5,-0.07995560774232054,422
Overall,Density25,Tree density (25 m),1,4.0,-0.09263163052620532,845
Overall,Density25,Tree density (25 m),2,7.0,-0.06829400318345963,694
Overall,Density25,Tree density (25 m),3,8.0,-0.06913302494825323,654
Overall,Density25,Tree density (25 m),4,10.0,-0.05901736216715295,730
Overall,Density25,Tree density (25 m),5,12.0,-0.029910625366599063,612
Overall,Density25,Tree density (25 m),6,15.0,0.003325847847891624,783
Overall,Density25,Tree density (25 m),7,18.0,0.04258176251327495,631
Overall,Density25,Tree density (25 m),8,21.0,0.05873991672915564,652
Overall,Density25,Tree density (25 m),9,26.0,0.0920980381017107,617
Overall,Density25,Tree density (25 m),10,35.0,0.164919047290385,627
Overall,Mono_Rate,Monoculture rate,1,0.1111111119389534,0.008581848393711572,689
Overall,Mono_Rate,Monoculture rate,2,0.3571428656578064,0.01828235172429573,692
Overall,Mono_Rate,Monoculture rate,3,0.6370441317558289,0.012716325271699488,3353
Overall,Mono_Rate,Monoculture rate,4,0.6666666865348816,0.0037866854154823444,114
Overall,Mono_Rate,Monoculture rate,5,0.800000011920929,-0.007690661048620871,643
Overall,Mono_Rate,Monoculture rate,6,1.0,-0.04436312038252822,1354
Overall,avg_svf,Sky-view factor,1,0.7193760275840759,0.05394765840604116,685
Overall,avg_svf,Sky-view factor,2,0.8391065001487732,0.031645635496854126,684
Overall,avg_svf,Sky-view factor,3,0.8989610075950623,0.04022480538760713,685
Overall,avg_svf,Sky-view factor,4,0.933792233467102,0.035103332272138306,684
Overall,avg_svf,Sky-view factor,5,0.9550099968910217,-0.008559430405326491,686
Overall,avg_svf,Sky-view factor,6,0.9707170128822327,-0.015972805771973065,687
Overall,avg_svf,Sky-view factor,7,0.981872022151947,-0.023462911436833902,685
Overall,avg_svf,Sky-view factor,8,0.9890092611312866,-0.024993153083345453,736
Overall,avg_svf,Sky-view factor,9,0.9958165287971497,-0.009111757452957659,635
Overall,avg_svf,Sky-view factor,10,1.0,-0.012287882520897235,678
Overall,avg_radiation,Solar radiation,1,543.8610229492188,0.06665996026084589,685
Overall,avg_radiation,Solar radiation,2,731.5455017089844,0.07097696293309999,684
Overall,avg_radiation,Solar radiation,3,829.8579711914062,0.02938834084970883,685
Overall,avg_radiation,Solar radiation,4,903.4809875488281,0.009623268047687294,684
Overall,avg_radiation,Solar radiation,5,957.125,0.006569554138363889,685
Overall,avg_radiation,Solar radiation,6,1001.2749938964844,-0.001417702258036727,684
Overall,avg_radiation,Solar radiation,7,1043.5399780273438,-0.028766867495303612,684
Overall,avg_radiation,Solar radiation,8,1079.469970703125,-0.054027773807876066,687
Overall,avg_radiation,Solar radiation,9,1116.75,-0.056139257681027566,682
Overall,avg_radiation,Solar radiation,10,1164.31005859375,-0.09525745498861125,685
Overall,avg_LST,Land-surface temperature,1,21.376474380493164,-0.06552441365635545,686
Overall,avg_LST,Land-surface temperature,2,23.185461044311523,-0.00539875074508625,683
Overall,avg_LST,Land-surface temperature,3,24.045093536376953,-0.002150609304663641,687
Overall,avg_LST,Land-surface temperature,4,24.738096237182617,0.02265909314339078,682
Overall,avg_LST,Land-surface temperature,5,25.36103057861328,0.021348973533289888,685
Overall,avg_LST,Land-surface temperature,6,25.961748123168945,0.019823690529855182,686
Overall,avg_LST,Land-surface temperature,7,26.58126449584961,0.02222917106488314,684
Overall,avg_LST,Land-surface temperature,8,27.365699768066406,0.017040544441986338,686
Overall,avg_LST,Land-surface temperature,9,28.295400619506836,0.003446282837807479,682
Overall,avg_LST,Land-surface temperature,10,29.935195922851562,-0.037237167588676116,684
Overall,lightemiss,Night illumination,1,50.0,-0.018081235533989107,822
Overall,lightemiss,Night illumination,2,60.0,-0.0034357604318684246,978
Overall,lightemiss,Night illumination,3,70.0,0.008025505403616708,2047
Overall,lightemiss,Night illumination,4,80.0,0.018342519121791998,1264
Overall,lightemiss,Night illumination,5,90.0,-0.020933352834620955,583
Overall,lightemiss,Night illumination,6,100.0,0.008238861989069911,673
Overall,lightemiss,Night illumination,7,130.0,-0.02984088141879149,478
Overall,type_Puisto,Park context,1,0.0,-0.0024465171663830445,1939
Overall,type_Puisto,Park context,2,1.0,0.00575697194016747,4906
Overall,soil_infill,Soil: fill,1,0.0,-0.01946620796311991,3203
Overall,soil_infill,Soil: fill,2,1.0,0.01794702531751352,3642
Overall,soil_bedrock,Soil: bedrock,1,0.0,0.030300023580695636,3040
Overall,soil_bedrock,Soil: bedrock,2,1.0,-0.026599812640096282,3805
Overall,soil_moraine,Soil: moraine,1,0.0,0.004996156210580369,6399
Overall,soil_moraine,Soil: moraine,2,1.0,-0.061106627761603506,446
Conifer,avg_noise_day,Daytime noise,1,35.0,0.05378067475349882,288
Conifer,avg_noise_day,Daytime noise,2,47.5,0.023697622705102814,88
Conifer,avg_noise_day,Daytime noise,3,50.0,0.008952960104498241,67
Conifer,avg_noise_day,Daytime noise,4,52.5,0.013027445211928496,126
Conifer,avg_noise_day,Daytime noise,5,55.0,0.0036015852017263913,29
Conifer,avg_noise_day,Daytime noise,6,57.5,-0.022159543340468275,137
Conifer,avg_noise_day,Daytime noise,7,60.0,-0.0166309788906708,39
Conifer,avg_noise_day,Daytime noise,8,62.5,-0.04022349180498471,81
Conifer,Density25,Tree density (25 m),1,6.0,-0.06553162352810073,86
Conifer,Density25,Tree density (25 m),2,10.0,-0.06923351332692332,95
Conifer,Density25,Tree density (25 m),3,14.0,-0.024751856280260484,91
Conifer,Density25,Tree density (25 m),4,16.0,0.020971991652583132,88
Conifer,Density25,Tree density (25 m),5,18.0,0.038816369701114094,89
Conifer,Density25,Tree density (25 m),6,21.0,0.05603357915727732,72
Conifer,Density25,Tree density (25 m),7,23.0,0.06999450438397836,83
Conifer,Density25,Tree density (25 m),8,26.0,0.09050851073911095,82
Conifer,Density25,Tree density (25 m),9,29.0,0.14222765954521796,96
Conifer,Density25,Tree density (25 m),10,38.0,0.19744694118120082,73
Conifer,Mono_Rate,Monoculture rate,1,0.10810811072587967,-0.028185510603127593,87
Conifer,Mono_Rate,Monoculture rate,2,0.6370441317558289,0.016135444896430852,707
Conifer,Mono_Rate,Monoculture rate,3,0.7575757503509521,-0.00019039831350397196,61
Conifer,avg_svf,Sky-view factor,1,0.8174167275428772,0.025188280116539275,86
Conifer,avg_svf,Sky-view factor,2,0.8987284898757935,0.030522858708247762,85
Conifer,avg_svf,Sky-view factor,3,0.9276280105113983,0.03054842112794367,86
Conifer,avg_svf,Sky-view factor,4,0.950357973575592,-0.007950598753043724,85
Conifer,avg_svf,Sky-view factor,5,0.9657922685146332,-0.017272428154598837,86
Conifer,avg_svf,Sky-view factor,6,0.9798905253410339,-0.017347697603434103,85
Conifer,avg_svf,Sky-view factor,7,0.986752986907959,-0.022984548218965787,87
Conifer,avg_svf,Sky-view factor,8,0.9916334748268127,-0.009345686530097104,92
Conifer,avg_svf,Sky-view factor,9,0.9965140223503113,-0.0007497478274252409,78
Conifer,avg_svf,Sky-view factor,10,1.0,-0.008283611031348462,85
Conifer,avg_radiation,Solar radiation,1,613.3625183105469,0.05464588189605883,86
Conifer,avg_radiation,Solar radiation,2,784.5659790039062,0.06022143718129133,85
Conifer,avg_radiation,Solar radiation,3,871.1189880371094,0.029207727532064933,86
Conifer,avg_radiation,Solar radiation,4,920.3660278320312,0.007562575475586687,85
Conifer,avg_radiation,Solar radiation,5,967.0635070800781,0.013037164465776038,86
Conifer,avg_radiation,Solar radiation,6,1000.6900024414062,-0.001839109872611623,85
Conifer,avg_radiation,Solar radiation,7,1042.300048828125,-0.03447279843008694,85
Conifer,avg_radiation,Solar radiation,8,1080.6500244140625,-0.05765763363735967,86
Conifer,avg_radiation,Solar radiation,9,1121.6400146484375,-0.0610159320071997,85
Conifer,avg_radiation,Solar radiation,10,1172.0599975585938,-0.08181049851808957,86
Conifer,avg_LST,Land-surface temperature,1,21.29187774658203,-0.08752519326544432,86
Conifer,avg_LST,Land-surface temperature,2,22.751373291015625,-0.01725729497428442,86
Conifer,avg_LST,Land-surface temperature,3,23.732343673706055,-0.013870729239749571,86
Conifer,avg_LST,Land-surface temperature,4,24.33904266357422,-0.0021143469294613517,84
Conifer,avg_LST,Land-surface temperature,5,24.941469192504883,0.016868214588612318,86
Conifer,avg_LST,Land-surface temperature,6,25.35077667236328,0.01406259204837667,86
Conifer,avg_LST,Land-surface temperature,7,25.899368286132812,0.01843724554540434,84
Conifer,avg_LST,Land-surface temperature,8,26.64706039428711,0.033432822188546575,86
Conifer,avg_LST,Land-surface temperature,9,27.628887176513672,0.029667177957382464,86
Conifer,avg_LST,Land-surface temperature,10,29.2849178314209,-0.010058136959217817,85
Conifer,lightemiss,Night illumination,1,50.0,-0.021125190788850643,119
Conifer,lightemiss,Night illumination,2,60.0,0.000512445440709741,242
Conifer,lightemiss,Night illumination,3,70.0,0.0073333590139205065,299
Conifer,lightemiss,Night illumination,4,80.0,0.023764674767813423,97
Conifer,lightemiss,Night illumination,5,90.0,-0.017778080567950383,36
Conifer,lightemiss,Night illumination,6,115.0,-0.01167797992327964,62
Conifer,type_Puisto,Park context,1,0.0,0.030721082485450264,55
Conifer,type_Puisto,Park context,2,1.0,0.0029834822391967466,800
Conifer,soil_infill,Soil: fill,1,0.0,-0.017300295567728868,624
Conifer,soil_infill,Soil: fill,2,1.0,0.019680566194737372,231
Conifer,soil_bedrock,Soil: bedrock,1,0.0,0.03701458079373743,254
Conifer,soil_bedrock,Soil: bedrock,2,1.0,-0.03351198353288624,601
Conifer,soil_moraine,Soil: moraine,1,0.0,0.005565035164115464,770
Conifer,soil_moraine,Soil: moraine,2,1.0,-0.049628499233821295,85
Broadleaf,avg_noise_day,Daytime noise,1,41.25,0.035203273956657365,1871
Broadleaf,avg_noise_day,Daytime noise,2,52.5,0.009246621936654265,1112
Broadleaf,avg_noise_day,Daytime noise,3,55.0,0.0009685253860896933,323
Broadleaf,avg_noise_day,Daytime noise,4,57.5,-0.014799247981094185,775
Broadleaf,avg_noise_day,Daytime noise,5,60.0,-0.01454803161868159,299
Broadleaf,avg_noise_day,Daytime noise,6,62.5,-0.029253431256735383,609
Broadleaf,avg_noise_day,Daytime noise,7,67.5,-0.06369933178442679,583
Broadleaf,avg_noise_day,Daytime noise,8,72.5,-0.08033541389367806,418
Broadleaf,Density25,Tree density (25 m),1,4.0,-0.09377955159606652,815
Broadleaf,Density25,Tree density (25 m),2,7.0,-0.0683443759087047,638
Broadleaf,Density25,Tree density (25 m),3,8.0,-0.06969574161866958,362
Broadleaf,Density25,Tree density (25 m),4,10.0,-0.06406592675714216,629
Broadleaf,Density25,Tree density (25 m),5,11.0,-0.04553386821140093,651
Broadleaf,Density25,Tree density (25 m),6,14.0,-0.005252437010679614,677
Broadleaf,Density25,Tree density (25 m),7,16.0,0.027521880934907296,426
Broadleaf,Density25,Tree density (25 m),8,20.0,0.049701006999416854,682
Broadleaf,Density25,Tree density (25 m),9,25.0,0.0786625665066822,535
Broadleaf,Density25,Tree density (25 m),10,34.0,0.15759404492685977,575
Broadleaf,Mono_Rate,Monoculture rate,1,0.1111111119389534,0.012248492957385209,604
Broadleaf,Mono_Rate,Monoculture rate,2,0.3333333432674408,0.018204907040872118,598
Broadleaf,Mono_Rate,Monoculture rate,3,0.6370441317558289,0.012403898939547697,2738
Broadleaf,Mono_Rate,Monoculture rate,4,0.692307710647583,0.0022911078428729764,257
Broadleaf,Mono_Rate,Monoculture rate,5,1.0,-0.03634036716862022,1793
Broadleaf,avg_svf,Sky-view factor,1,0.7094839811325073,0.055282492775226885,599
Broadleaf,avg_svf,Sky-view factor,2,0.828655481338501,0.034445233793779034,599
Broadleaf,avg_svf,Sky-view factor,3,0.8920274972915649,0.03968379841248687,599
Broadleaf,avg_svf,Sky-view factor,4,0.9308139979839325,0.04103940064967901,600
Broadleaf,avg_svf,Sky-view factor,5,0.9531907439231873,-0.005236944024901553,598
Broadleaf,avg_svf,Sky-view factor,6,0.9693225026130676,-0.015549763211425703,603
Broadleaf,avg_svf,Sky-view factor,7,0.9805880188941956,-0.02363387926188897,606
Broadleaf,avg_svf,Sky-view factor,8,0.9882019758224487,-0.027757813620359433,611
Broadleaf,avg_svf,Sky-view factor,9,0.9951195120811462,-0.010736106308409652,597
Broadleaf,avg_svf,Sky-view factor,10,1.0,-0.012692324147427476,578
Broadleaf,avg_radiation,Solar radiation,1,536.905029296875,0.06805821066529479,599
Broadleaf,avg_radiation,Solar radiation,2,721.5040283203125,0.0729025763537535,599
Broadleaf,avg_radiation,Solar radiation,3,824.0239868164062,0.03038836020306662,599
Broadleaf,avg_radiation,Solar radiation,4,899.8800048828125,0.009467579997165533,599
Broadleaf,avg_radiation,Solar radiation,5,956.4019775390625,0.005097679979544698,599
Broadleaf,avg_radiation,Solar radiation,6,1001.3599853515625,-0.0014086956610379713,599
