Group,Feature,Feature_Label,N_SHAP,SHAP_Min,SHAP_Max,SHAP_Range,SHAP_P05,SHAP_P95,SHAP_Robust_Range_P05_P95,Mean_Absolute_SHAP,High_minus_Low_SHAP,SHAP_Feature_Spearman
Overall,avg_noise_day,Daytime noise,6845,-0.2769540250301361,0.19911587238311768,0.4760698974132538,-0.09065271317958831,0.06476704776287069,0.15541976094245902,0.03359481253329343,-0.08483647971326191,-0.8464082688059092
Overall,Density25,Tree density (25 m),6845,-0.2807760238647461,0.6444128155708313,0.9251888394355774,-0.11020055711269379,0.15963815152645106,0.26983870863914483,0.06913192231075896,0.18975748759176436,0.91740960460403
Overall,Mono_Rate,Monoculture rate,6845,-0.15949688851833344,0.11926113814115524,0.2787580266594887,-0.060828303545713426,0.04353992864489547,0.1043682321906089,0.023931878025206035,-0.051167863860373794,-0.5675008605990114
Overall,avg_svf,Sky-view factor,6845,-0.1328900307416916,0.18054944276809692,0.3134394735097885,-0.049307812750339505,0.07622876763343803,0.12553658038377752,0.031538128785477584,-0.05692246225993764,-0.6344870749961256
Overall,avg_radiation,Solar radiation,6845,-0.24661460518836975,0.16384169459342957,0.4104562997817993,-0.10425029546022414,0.09162528663873672,0.19587558209896086,0.04689841452914002,-0.1360388831626041,-0.8679325798467086
Overall,avg_LST,Land-surface temperature,6845,-0.3239477574825287,0.16718396544456482,0.4911317229270935,-0.0838176742196083,0.048172502964734965,0.13199017718434325,0.029441911424860693,0.018927437851578806,0.16256772125010466
Overall,lightemiss,Night illumination,6845,-0.22051821649074554,0.19752372801303864,0.4180419445037842,-0.04685098752379417,0.027445875853300092,0.07429686337709426,0.017368832083990336,-0.0019426513257769125,0.1443302332492031
Overall,type_Puisto,Park context,6845,-0.05783623456954956,0.15117058157920837,0.20900681614875793,-0.021104857698082923,0.026493532955646472,0.047598390653729394,0.010077086427411636,0.008203489106550515,
Overall,soil_infill,Soil: fill,6845,-0.07405990362167358,0.07884259521961212,0.1529024988412857,-0.033169541507959366,0.030426211282610888,0.06359575279057025,0.018710920098486957,0.03741323328063343,
Overall,soil_bedrock,Soil: bedrock,6845,-0.08371618390083313,0.10948047786951065,0.19319666177034378,-0.043371210992336276,0.05016744360327715,0.09353865459561342,0.028385517780299473,-0.05689983622079192,
Overall,soil_moraine,Soil: moraine,6845,-0.17443031072616577,0.03462035953998566,0.20905067026615143,-0.04444115683436393,0.00915224179625511,0.05359339863061904,0.008721128962670988,-0.06610278397218387,
