Genus,N_Test_Rows,Clockwise_Order,Display_Variable,Model_Feature,Category,SHAP_P05,SHAP_P95,Absolute_P05_Plus_P95,Robust_SHAP_Range_P05_P95,Mean_Absolute_SHAP,High_minus_Low_SHAP_for_Display_Variable,Feature_SHAP_Spearman_for_Display_Variable,Decile_Monotonicity_Score,Previous_Association_Class,Association_Class,Classification_Changed_After_Audit,Classification_Reason,Plot_Color,Feature_Share_of_Genus_Absolute_SHAP_Impact
Acer,825,1,View factor,avg_svf,Structure,-0.0486212976276874,0.0698206439614295,0.11844194158911689,0.118441941589117,0.0305156687047918,-0.0557532824670031,-0.5865535512421662,0.7450086653352712,Negative association,Negative association,False,Directional Spearman and decile pattern,#9CCFAE,0.09293717621724798
Acer,825,2,Diversity,Mono_Rate,Structure,-0.0591281868517398,0.0527902752161025,0.11191846206784231,0.1119184620678424,0.0261706790278725,0.0541621560813745,0.5490233113614286,0.8344775781571496,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.08781843400748661
Acer,825,3,Density,Density25,Structure,-0.1013457298278808,0.16456960439682,0.2659153342247008,0.2659153342247008,0.0700177751822841,0.1958217900485015,0.936082348595078,1.0,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.20865429884155345
Acer,825,4,Park condition,type_Puisto,Structure,-0.0175587128847837,0.020952920988202,0.0385116338729857,0.0385116338729858,0.0101766429616272,0.0157325693200444,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#1F7A4D,0.030218708471397453
Acer,825,5,Moraine,soil_moraine,Soil,-0.0609927259385585,0.0085950680077075,0.069587793946266,0.0695877939462661,0.0099146233085224,-0.0801251439266842,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.05460306528061777
Acer,825,6,Infill,soil_infill,Soil,-0.0327452279627323,0.0323839545249938,0.06512918248772609,0.0651291824877262,0.0198645475935755,0.0397039028363868,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#D84A36,0.051104551551046824
Acer,825,7,Bedrock,soil_bedrock,Soil,-0.04468854367733,0.0576484903693199,0.1023370340466499,0.1023370340466499,0.0326084032176401,-0.0660832172490774,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.0803002284422018
Acer,825,8,LST,avg_LST,Atmosphere,-0.0677944883704185,0.0414074912667274,0.1092019796371459,0.1092019796371459,0.025013813630556,0.0139153540695205,0.2071906534026231,0.5575805718470346,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.08568690692370662
Acer,825,9,Radiation,avg_radiation,Atmosphere,-0.0850532129406929,0.0792981311678886,0.1643513441085815,0.1643513441085815,0.0386937238761906,-0.110950664397085,-0.8653141722056065,0.9197219662659691,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.12896065045901184
Acer,825,10,Noise,avg_noise_day,Atmosphere,-0.0850425124168395,0.0583232127130031,0.14336572512984258,0.1433657251298427,0.0317941388255867,-0.0848584093481497,-0.8723907319789703,1.0,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.11249398212440316
Acer,825,11,Illumination,lightemiss,Atmosphere,-0.0577816359698772,0.0278881061822175,0.08566974215209469,0.0856697421520948,0.0190770220724075,-0.0035769012155459,0.1921318178231188,0.5561636758643476,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.06722199768132649
Alnus,115,1,View factor,avg_svf,Structure,-0.0707862742245197,0.0824967637658119,0.1532830379903316,0.1532830379903316,0.0380759383237961,-0.0859181227098251,-0.6000217014764646,0.6492320151631779,Nonlinear association,Negative association,True,Borderline monotonicity retained as directional because |Spearman| >= 0.50 and Spearman/end-contrast signs agree,#9CCFAE,0.11908979874373235
Alnus,115,2,Diversity,Mono_Rate,Structure,-0.0518564958125352,0.0379121340811252,0.0897686298936604,0.0897686298936605,0.0225988003978272,0.0386758236727473,0.5393217469956847,0.7759939758417667,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.06974371207472364
